what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305475671841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475677591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475690952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475698516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475718816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475726774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475729699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475734179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475771559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305475778457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1305475780356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1305475780578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1305475783067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305475790143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475810198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475813547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475815280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475822409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475824806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305475914873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305475929703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476019903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476022894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305476028501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476243193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476288827
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305476356892
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305476359830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1305476366141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305476371099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305476372651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305476384938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476386493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476502907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305476507883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1305476516392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305476519740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305476526361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305476527610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305476528298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305476531042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476746017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476747835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305476765863
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305476782093
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305476782351
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305476798281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476803570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305476879010
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305476880304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305476882186
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305476892575
