what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1305450871596
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1305450871596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450871655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450878364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450881526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450886066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450886087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450943083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305450947667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451014643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451016728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451375886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451379093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451396797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451401576
error,log,,,"Unable to read /Library/Google/android-sdk-mac_x86/AndroidManifest.xml: java.io.FileNotFoundException: /Library/Google/android-sdk-mac_x86/AndroidManifest.xml (No such file or directory)",1305451501607
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305451501635
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305451501651
error,log,,,"Unable to read /Library/Google/android-sdk-mac_x86/AndroidManifest.xml: java.io.FileNotFoundException: /Library/Google/android-sdk-mac_x86/AndroidManifest.xml (No such file or directory)",1305451501656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451628490
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305451628499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1305451628546
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1305451635619
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1305451635649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451638990
error,log,,,"Error: null",1305451711235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451711289
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305451711300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451716488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451723925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305451735312
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305457368624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305457368716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305457375135
error,log,,,"Failed to load properties file for project 'Inventory'",1305457664730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305457665059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1305457665130
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1305457665715
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1305457665732
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1305457670238
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1305457670368
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1305457670734
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1305457670828
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1305457671469
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1305457671520
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1305457671719
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1305457672012
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1305457672217
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1305457672622
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1305457673058
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1305457673240
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1305457673264
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1305457673269
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305457678165
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1305457678165
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1305457692269
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305457705368
