what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1305460539022
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1305460539023
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1305460539024
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1305460539033
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1305460539034
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1305460539035
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1305460539036
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1305460539037
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1305460539037
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1305460539038
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1305460539039
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1305460539041
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1305460539042
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305460539045
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1305460539045
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1305460539045
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1305460539047
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305460539062
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1305460539063
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1305460539064
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305460539065
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305460539065
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1305460539066
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305460539066
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1305460539080
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1305460539092
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1305460539102
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1305460539112
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1305460539113
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1305460539114
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1305460539124
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1305460539124
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1305460539138
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1305460539156
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1305460539156
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1305460539156
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1305460539157
os,sysinfo,,,"macosx",1305460539161
arch,sysinfo,,,"x86",1305460539161
ws,sysinfo,,,"cocoa",1305460539161
locale,sysinfo,,,"fr_FR",1305460539161
processors,sysinfo,,,"2",1305460539161
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305460539161
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1305460539161
java.specification.name,sysinfo,,,"Java Platform API Specification",1305460539161
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305460539161
java.specification.version,sysinfo,,,"1.6",1305460539161
java.vendor,sysinfo,,,"Apple Inc.",1305460539161
java.version,sysinfo,,,"1.6.0_24",1305460539161
java.vm.info,sysinfo,,,"mixed mode",1305460539161
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1305460539161
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305460539161
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305460539161
java.vm.specification.version,sysinfo,,,"1.0",1305460539161
java.vm.vendor,sysinfo,,,"Apple Inc.",1305460539161
java.vm.version,sysinfo,,,"19.1-b02-334",1305460539161
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1305460539579
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1305460539588
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1305460539603
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1305460544155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460548096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460555633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460555799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460670983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460671385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460686913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460687504
error,log,,,"No command output when running: 'am start -n com.example.android.snake/com.example.android.snake.Snake -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1305460827090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305460966457
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305461016362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305461084071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305461120418
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1305461139848
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1305461139958
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1305461139995
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1305461140023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461142549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461326752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461450740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461470206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461470838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461473354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461482199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461544248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461550544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305461781841
